时间,商品名称,库存变化,单笔销量
2026-07-22 22:12:40,beatroad,-143,0
2026-07-23 16:43:14,beatroad,-143 -> -175,32
2026-07-23 17:16:07,beatroad,-175 -> -211,36
2026-07-23 19:14:34,beatroad,-211 -> -251,40
2026-07-24 09:28:53,beatroad,-251 -> -281,30
2026-07-24 10:23:37,beatroad,-281 -> -335,54
2026-07-24 15:24:06,beatroad,-335 -> -371,36
2026-07-24 15:41:22,beatroad,-371 -> -413,42
2026-07-24 17:25:12,beatroad,-413 -> -459,46
2026-07-24 18:25:25,beatroad,-459 -> -465,6
2026-07-24 18:45:52,beatroad,-465 -> -492,27
2026-07-24 19:03:53,beatroad,-492 -> -528,36
2026-07-24 19:18:38,beatroad,-528 -> -534,6
2026-07-24 21:24:42,beatroad,-534 -> -546,12
2026-07-24 21:47:58,beatroad,-546 -> -600,54
2026-07-24 21:59:16,beatroad,-600 -> -635,35
2026-07-24 22:20:11,beatroad,-635 -> -655,20
2026-07-24 22:32:23,beatroad,-655 -> -691,36
2026-07-24 22:32:43,beatroad,-691 -> -697,6
2026-07-24 22:35:33,beatroad,-697 -> -734,37
2026-07-24 22:47:48,beatroad,-734 -> -776,42
2026-07-24 22:49:43,beatroad,-776 -> -790,14
2026-07-24 22:51:52,beatroad,-790 -> -832,42
2026-07-24 22:53:57,beatroad,-832 -> -835,3
2026-07-24 22:55:52,beatroad,-835 -> -877,42
